"Sample","Passage","Group","Strain","Species","Start.date","Extraction.date","Days.on.plate","X","Ct","block","Species.full"
"FBT36.1",1,"FBT36","GXW1","elegans","6/1/2021 14:00","6/5/2021 9:05","3.795138889",NA,11.7439,2,"C. elegans"
"FBT37.1",1,"FBT37","JU4056","sp.63","6/2/2021 10:40","6/6/2021 7:15","3.857638889",NA,Inf,2,"C. sp. 63"
"FBT38.1",1,"FBT38","JU4056","sp.63","6/2/2021 10:40","6/6/2021 7:15","3.857638889",NA,Inf,2,"C. sp. 63"
"FBT39.1",1,"FBT39","JU4056","sp.63","6/2/2021 10:40","6/6/2021 7:15","3.857638889",NA,Inf,2,"C. sp. 63"
"FBT10.2",2,"FBT10","JU724","latens","6/20/2021 16:30","6/29/2021 12:00","8.8125",NA,Inf,2,"C. latens"
"FBT11.2",2,"FBT11","JU724","latens","7/2/2021 9:40","7/12/2021 5:45","9.836805556",NA,28.1304,2,"C. latens"
"FBT16.2",2,"FBT16","JU1401","elegans","6/5/2021 9:05","6/9/2021 11:35","4.104166667",NA,15.2339,2,"C. elegans"
"FBT17.2",2,"FBT17","JU1401","elegans","6/4/2021 12:15","6/8/2021 11:05","3.951388889",NA,15.0821,2,"C. elegans"
"FBT18.2",2,"FBT18","JU1401","elegans","6/5/2021 9:05","6/9/2021 11:35","4.104166667",NA,17.4513,2,"C. elegans"
"FBT21.2",2,"FBT21","JU4087","sp.65","6/6/2021 7:15","6/11/2021 10:25","5.131944444",NA,Inf,2,"C. sp. 65"
"FBT24.2",2,"FBT24","JU4088","sp.66","6/5/2021 9:05","6/9/2021 11:35","4.104166667",NA,Inf,2,"C. sp. 66"
"FBT25.2",2,"FBT25","JU4093","sp.65","6/6/2021 7:15","6/10/2021 14:26","4.299305556",NA,16.736,2,"C. sp. 65"
"FBT26.2",2,"FBT26","JU4093","sp.65","6/6/2021 7:15","6/10/2021 14:26","4.299305556",NA,19.3001,2,"C. sp. 65"
"FBT27.2",2,"FBT27","JU4093","sp.65","6/6/2021 7:15","6/11/2021 10:25","5.131944444",NA,14.435,2,"C. sp. 65"
"FBT28.2",2,"FBT28","ED3042","elegans","6/5/2021 9:05","6/10/2021 14:26","5.222916667",NA,18.1295,2,"C. elegans"
"FBT29.2",2,"FBT29","ED3042","elegans","6/5/2021 9:05","6/9/2021 11:35","4.104166667",NA,15.2394,2,"C. elegans"
"FBT30.2",2,"FBT30","ED3042","elegans","6/5/2021 9:05","6/9/2021 11:35","4.104166667",NA,14.9028,2,"C. elegans"
"FBT34.2",2,"FBT34","GXW1","elegans","6/6/2021 7:15","6/10/2021 14:26","4.299305556",NA,12.4402,2,"C. elegans"
"FBT35.2",2,"FBT35","GXW1","elegans","6/5/2021 9:05","6/9/2021 11:35","4.104166667",NA,11.2758,2,"C. elegans"
"FBT36.2",2,"FBT36","GXW1","elegans","6/5/2021 9:05","6/9/2021 11:35","4.104166667",NA,11.3733,2,"C. elegans"
"FBT11.3",3,"FBT11","JU724","latens","7/12/2021 5:45","7/19/2021 7:15","7.0625",NA,15.5784,2,"C. latens"
"FBT16.3",3,"FBT16","JU1401","elegans","6/9/2021 11:35","6/13/2021 9:25","3.909722222",NA,14.8517,2,"C. elegans"
"FBT17.3",3,"FBT17","JU1401","elegans","6/8/2021 11:05","6/12/2021 9:25","3.930555556",NA,15.1453,2,"C. elegans"
"FBT18.3",3,"FBT18","JU1401","elegans","6/9/2021 11:35","6/12/2021 9:25","2.909722222",NA,Inf,2,"C. elegans"
"FBT25.3",3,"FBT25","JU4093","sp.65","6/10/2021 14:26","6/14/2021 11:00","3.856944444",NA,17.5417,2,"C. sp. 65"
"FBT26.3",3,"FBT26","JU4093","sp.65","6/10/2021 14:26","6/14/2021 11:00","3.856944444",NA,36,2,"C. sp. 65"
"FBT27.3",3,"FBT27","JU4093","sp.65","6/11/2021 10:25","6/16/2021 10:45","5.013888889",NA,16.2804,2,"C. sp. 65"
"FBT28.3",3,"FBT28","ED3042","elegans","6/10/2021 14:26","6/14/2021 11:00","3.856944444",NA,14.6328,2,"C. elegans"
"FBT29.3",3,"FBT29","ED3042","elegans","6/9/2021 11:35","6/13/2021 9:25","3.909722222",NA,15.9821,2,"C. elegans"
"FBT30.3",3,"FBT30","ED3042","elegans","6/9/2021 11:35","6/13/2021 9:25","3.909722222",NA,15.0044,2,"C. elegans"
"FBT34.3",3,"FBT34","GXW1","elegans","6/10/2021 14:26","6/14/2021 11:00","3.856944444",NA,12.0725,2,"C. elegans"
"FBT35.3",3,"FBT35","GXW1","elegans","6/9/2021 11:35","6/13/2021 9:25","3.909722222",NA,12.0129,2,"C. elegans"
"FBT36.3",3,"FBT36","GXW1","elegans","6/9/2021 11:35","6/13/2021 9:25","3.909722222",NA,11.8389,2,"C. elegans"
"FBT11.4",4,"FBT11","JU724","latens","7/19/2021 7:15","7/28/2021 7:10","8.996527778",NA,18.2807,2,"C. latens"
"FBT16.4",4,"FBT16","JU1401","elegans","6/13/2021 9:25","6/16/2021 10:45","3.055555556",NA,16.2689,2,"C. elegans"
"FBT17.4",4,"FBT17","JU1401","elegans","6/12/2021 9:25","6/15/2021 10:00","3.024305556",NA,15.5195,2,"C. elegans"
"FBT20.4",4,"FBT20","JU4087","sp.65","1/0/1900 0:00",NA,"0",NA,Inf,2,"C. sp. 65"
"FBT25.4",4,"FBT25","JU4093","sp.65","6/14/2021 11:00","6/19/2021 11:30","5.020833333",NA,15.2452,2,"C. sp. 65"
"FBT27.4",4,"FBT27","JU4093","sp.65","6/16/2021 10:45","6/21/2021 13:30","5.114583333",NA,14.4736,2,"C. sp. 65"
"FBT28.4",4,"FBT28","ED3042","elegans","6/14/2021 11:00","6/17/2021 13:15","3.09375",NA,17.64,2,"C. elegans"
"FBT29.4",4,"FBT29","ED3042","elegans","6/13/2021 9:25","6/16/2021 10:45","3.055555556",NA,16.3001,2,"C. elegans"
"FBT30.4",4,"FBT30","ED3042","elegans","6/13/2021 9:25","6/17/2021 13:15","4.159722222",NA,14.6092,2,"C. elegans"
"FBT34.4",4,"FBT34","GXW1","elegans","6/14/2021 11:00","6/18/2021 8:20","3.888888889",NA,12.0661,2,"C. elegans"
"FBT35.4",4,"FBT35","GXW1","elegans","6/13/2021 9:25","6/17/2021 13:15","4.159722222",NA,11.0162,2,"C. elegans"
"FBT36.4",4,"FBT36","GXW1","elegans","6/13/2021 9:25","6/17/2021 13:15","4.159722222",NA,11.1136,2,"C. elegans"
"FBT11.5",5,"FBT11","JU724","latens","7/28/2021 7:10","8/6/2021 14:25","9.302083333",NA,18.0978,2,"C. latens"
"FBT16.5",5,"FBT16","JU1401","elegans","6/16/2021 10:45","6/19/2021 11:30","3.03125",NA,17.4479,2,"C. elegans"
"FBT17.5",5,"FBT17","JU1401","elegans","6/15/2021 10:00","6/18/2021 8:20","2.930555556",NA,15.4355,2,"C. elegans"
"FBT25.5",5,"FBT25","JU4093","sp.65","6/19/2021 11:30","6/24/2021 10:30","4.958333333",NA,16.0023,2,"C. sp. 65"
"FBT26.5",5,"FBT26","JU4093","sp.65","6/19/2021 11:30","6/24/2021 10:30","4.958333333",NA,Inf,2,"C. sp. 65"
"FBT27.5",5,"FBT27","JU4093","sp.65","6/21/2021 13:30","6/25/2021 16:00","4.104166667",NA,17.7532,2,"C. sp. 65"
"FBT28.5",5,"FBT28","ED3042","elegans","6/17/2021 13:15","6/21/2021 13:30","4.010416667",NA,13.735,2,"C. elegans"
"FBT29.5",5,"FBT29","ED3042","elegans","6/16/2021 10:45","6/20/2021 16:30","4.239583333",NA,15.3849,2,"C. elegans"
"FBT30.5",5,"FBT30","ED3042","elegans","6/17/2021 13:15","6/21/2021 13:30","4.010416667",NA,14.5604,2,"C. elegans"
"FBT34.5",5,"FBT34","GXW1","elegans","6/18/2021 8:20","6/22/2021 10:45","4.100694444",NA,11.1633,2,"C. elegans"
"FBT35.5",5,"FBT35","GXW1","elegans","6/17/2021 13:15","6/21/2021 13:30","4.010416667",NA,10.8297,2,"C. elegans"
"FBT36.5",5,"FBT36","GXW1","elegans","6/17/2021 13:15","6/21/2021 13:30","4.010416667",NA,11.511,2,"C. elegans"
