"","Sample","Strain","Species","Start.date","Extraction.date","Treatment","Days.on.plate","Ct","block"
"176","FBJ26","JU2617","nigoni","2/5/2021 11:45","2/10/2021 13:00","virus",5.052083333,Inf,4
"177","FBJ27","JU2617","nigoni","2/5/2021 11:45","2/10/2021 13:00","virus",5.052083275,35.1208,4
"178","FBJ28","JU3325","latens","2/5/2021 11:45","2/10/2021 13:00","virus",5.052083275,19.4121,4
"179","FBJ29","JU3325","latens","2/5/2021 11:45","2/10/2021 13:00","virus",5.052083275,26.1209,4
"180","FBJ30","JU3325","latens","2/5/2021 11:45","2/10/2021 13:00","virus",5.052083275,35.0926,4
"181","FBJ31","JU1198","afra","2/5/2021 11:45","2/10/2021 13:00","virus",5.052083275,Inf,4
"182","FBJ32","JU1198","afra","2/5/2021 11:45","2/9/2021 13:00","virus",4.052083275,Inf,4
"183","FBJ33","JU1198","afra","2/5/2021 11:45","2/10/2021 13:00","virus",5.052083275,32.9588,4
"184","FBJ37","JU4096","sp.66","2/5/2021 11:45","2/10/2021 13:00","virus",5.052083275,25.7678,4
"185","FBJ38","JU4096","sp.66","2/5/2021 11:45","2/10/2021 13:00","virus",5.052083275,21.5793,4
"186","FBJ39","JU4096","sp.66","2/5/2021 11:45","2/9/2021 13:00","virus",4.052083275,Inf,4
"187","FBJ40","JU4088","sp.66","2/5/2021 11:45","2/10/2021 15:00","virus",5.135416667,22.1927,4
"188","FBJ41","JU4088","sp.66","2/5/2021 11:45","2/9/2021 13:00","virus",4.052083275,Inf,4
"189","FBJ42","JU4088","sp.66","2/5/2021 11:45","2/10/2021 15:00","virus",5.135416667,22.8114,4
"190","FBJ43","JU4087","sp.65","2/5/2021 11:45","2/10/2021 15:00","virus",5.135416667,19.1283,4
"191","FBJ44","JU4087","sp.65","2/5/2021 11:45","2/10/2021 15:00","virus",5.135416667,17.3398,4
"192","FBJ45","JU4087","sp.65","2/5/2021 11:45","2/10/2021 15:00","virus",5.135416667,17.7365,4
"193","FBJ49","JU2458","uteleia","2/5/2021 11:45","2/10/2021 15:00","virus",5.135416667,Inf,4
"194","FBJ50","JU2458","uteleia","2/5/2021 11:45","2/10/2021 15:00","virus",5.135416667,36,4
"195","FBJ51","JU2458","uteleia","2/5/2021 11:45","2/10/2021 15:00","virus",5.135416667,Inf,4
"196","FBL4","N2","elegans","2/12/2021 12:30","2/17/2021 10:00","control",4.895833333,Inf,5
"197","FBL5","N2","elegans","2/12/2021 12:30","2/16/2021 21:00","control",4.354166667,Inf,5
"198","FBL6","N2","elegans","2/12/2021 12:30","2/16/2021 21:00","control",4.354166667,Inf,5
"199","FBL7","N2","elegans","2/12/2021 12:30","2/16/2021 21:00","virus",4.354166667,16.1676,5
"200","FBL8","N2","elegans","2/12/2021 12:30","2/16/2021 21:00","virus",4.354166667,14.7769,5
"201","FBL9","N2","elegans","2/12/2021 12:30","2/16/2021 21:00","virus",4.354166667,15.0774,5
"202","FBL10","JU1580","elegans","2/12/2021 12:30","2/16/2021 21:00","virus",4.354166667,11.5872,5
"203","FBL11","JU1580","elegans","2/12/2021 12:30","2/16/2021 21:00","virus",4.354166667,13.3602,5
"204","FBL12","JU1580","elegans","2/12/2021 12:30","2/16/2021 21:00","virus",4.354166667,13.9196,5
"205","FBL13","JU2758","virilis","2/12/2021 12:30","2/20/2021 8:00","virus",7.8125,33.0861,5
"206","FBL14","JU2758","virilis","2/12/2021 12:30","2/20/2021 8:00","virus",7.8125,Inf,5
"207","FBL15","JU2758","virilis","2/12/2021 12:30","2/20/2021 8:00","virus",7.8125,33.2732,5
"208","FBL16","JU2776","tribulationis","2/12/2021 12:30","2/17/2021 14:00","virus",5.0625,Inf,5
"209","FBL17","JU2776","tribulationis","2/12/2021 12:30","2/17/2021 14:00","virus",5.0625,34.223,5
